"REF_SECTOR","TIME_PERIOD","ACCOUNTING_ENTRY","STO","PRODUCT","ACTIVITY","signe","formule","id_formule"
"S1",2003,"D","D1","_T","_T",1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","A",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","B",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","C",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","D",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","E",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","F",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","G",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","H",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","I",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","J",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","K",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","L",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","M",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","N",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","O",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","P",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","Q",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","R",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","S",-1,"Ventilation en activité",1
"S1",2003,"D","D1","_T","T",-1,"Ventilation en activité",1
"S1",2008,"D","P51C","_T","_T",1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","A",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","B",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","C",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","D",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","E",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","F",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","G",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","H",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","I",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","J",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","K",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","L",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","M",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","N",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","O",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","P",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","Q",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","R",-1,"Ventilation en activité",2
"S1",2008,"D","P51C","_T","S",-1,"Ventilation en activité",2
"S1",2000,"D","P2","_T","_T",1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","A",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","B",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","C",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","D",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","E",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","F",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","G",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","H",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","I",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","J",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","K",-1,"Ventilation en activité",3
"S1",2000,"D","P2","_T","L",-1,"Ventilation en activité",3
